datetime,NetPosUsd,NetUsdPnL,AbsVolume,Mid
2014.02.10T05:00:00.000,-62666.95,11.04,4210.56,1.362325
2014.02.10T06:00:00.000,6811.275,3.728028599,68246.925,1.362255
2014.02.10T07:00:00.000,23164.965,3.075349728,25939.08,1.362645
2014.02.10T08:00:00.000,40918.35,29.35236696,46078.765,1.363945
2014.02.10T09:00:00.000,161031.65,60.17863077,143875.78,1.364675
2014.02.10T10:00:00.000,-47712.175,-71.15786585,185245.435,1.363205
2014.02.10T11:00:00.000,-58611.795,10.11422226,30210.78,1.363065
2014.02.10T12:00:00.000,-53157.585,2.365484142,7283.04,1.363015
2014.02.10T13:00:00.000,-64085.205,-19.85649102,19861.62,1.363515
2014.02.10T14:00:00.000,-114524.34,14.92676534,53569.835,1.363385
2014.02.10T15:00:00.000,-535774.935,94.03894591,425095.295,1.363295
2014.02.10T16:00:00.000,-1169577.895,-1024.150025,675921.22,1.364735
2014.02.10T17:00:00.000,-1176099.87,300.7273515,8447.485,1.364385
2014.02.10T18:00:00.000,-1174571.895,163.7581739,2199.445,1.364195
2014.02.10T19:00:00.000,-1171757.605,85.80046829,3580.68,1.364095
2014.02.10T20:00:00.000,-1171774.785,-17.18,375.22,1.364115
2014.02.10T21:00:00.000,-1176298.13,-431.8241758,13474.345,1.364615
2014.02.10T22:00:00.000,-1174881.855,51.82808849,238.715,1.364555
2014.02.10T23:00:00.000,-1204804.935,94.23224939,27953.64,1.364445
2014.02.11T00:00:00.000,-1204884.405,-79.47,1690.83,1.364535
2014.02.11T01:00:00.000,-1201729.245,-2306.614768,54690.56,1.367155
2014.02.11T02:00:00.000,-1205257.41,572.7903272,2648.615,1.366505
2014.02.11T03:00:00.000,-1205372.07,-114.66,2443.74,1.366635
2014.02.11T04:00:00.000,-1204040.675,-35.3351909,2118.595,1.366675
2014.02.11T05:00:00.000,-835099.525,-105.0002784,370909.15,1.366775
2014.02.11T06:00:00.000,-20495.925,120.6370336,812590.78,1.366395
2014.02.11T07:00:00.000,-13659.85,6.328246053,1234.365,1.365985
2014.02.11T08:00:00.000,-17760.145,-2.020242168,7639.815,1.366165
2014.02.11T09:00:00.000,-1367.255,-15.91455507,46058.52,1.367255
2014.02.11T10:00:00.000,-173607.095,10.49130641,183326.28,1.366985
2014.02.11T11:00:00.000,-340404.165,-3.245998408,179704.35,1.367085
2014.02.11T12:00:00.000,-435883.195,198.81264,125798.47,1.366405
2014.02.11T13:00:00.000,-438988.365,-370.8609733,26010.53,1.367565
